"ID","CODIGO_SETOR","NOME_SETOR","ORGAO","ATIVO","LOGRADOURO","NUMERO","COMPLEMENTO","BAIRRO","CIDADE","ESTADO","CEP","TELEFONE","EMAIL","DATA_CRIACAO","DATA_ATUALIZACAO","LATITUDE","LONGITUDE"
1,"013.AGEATABR",Agência de Atendimento de Abreulândia,Secretaria da Fazenda,"0",R. Mariano Pereira,sem número,,Centro,Abreulândia,TO,"77693-000",(63) 1234-1234,atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:10:29.252,-9.6221526,-49.1558343
2,"013.AGEATAGU",Agência de Atendimento de Aguiarnópolis,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,AGUIARNOPOLIS,TO,"77908-000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:10:29.254,-6.56256251,-47.4710243
3,"013.AGEATALT",Agência de Atendimento de Aliança do Tocantins,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,ALIANCA DO TOCANTINS,TO,"77455000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:10:29.255,-11.30677761,-48.93887309
4,"013.AGEATALM",Agência de Atendimento de Almas,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,ALMAS,TO,"77310000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:10:29.257,-11.56794243,-47.17041349
5,"013.AGEATALV",Agência de Atendimento de Alvorada,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,ALVORADA,TO,"77480000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:18:56.060,-12.49298486,-49.13165217
6,"013.AGEATANN",Agência de Atendimento de Ananás,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,ANANAS,TO,"77890000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.072,-6.36779215,-48.07313905
7,"013.AGEATANG",Agência de Atendimento de Angico,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,ANGICO,TO,"77905000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.076,-6.39083582,-47.86685008
8,"013.AGEATARN",Agência de Atendimento de Aparecida do Rio Negro,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,APARECIDA DO RIO NEGRO,TO,"77620000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.078,-9.9516537,-47.97803725
9,"013.AGEATARG",Agência de Atendimento de Aragominas,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,ARAGOMINAS,TO,"77845000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.080,-7.16556223,-48.52594278
10,"013.AGEATARC",Agência de Atendimento de Araguacema,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,ARAGUACEMA,TO,"77690000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.082,-8.81696515,-49.55996086
11,"013.AGEATARU",Agência de Atendimento de Araguaçu,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,ARAGUACU,TO,"77475000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.083,-12.92665084,-49.82941942
12,"013.AGEATARA",Agência de Atendimento de Araguaína,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,ARAGUAINA,TO,"77804180","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.085,-7.18790788,-48.21020785
13,"013.AGEATAGN",Agência de Atendimento de Araguanã,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,ARAGUANÃ,TO,"77855000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.087,-6.58020265,-48.6424929
14,"013.AGEATAGI",Agência de Atendimento de Araguatins,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,ARAGUATINS,TO,"77950000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.088,-5.64611309,-48.11789532
15,"013.AGEATARP",Agência de Atendimento de Arapoema,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,ARAPOEMA,TO,"77780000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.089,-7.65730758,-49.06621335
16,"013.AGEATARR",Agência de Atendimento de Arraias,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,ARRAIAS,TO,"77330000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.090,-12.92648446,-46.94742596
17,"013.AGEATAUG",Agência de Atendimento de Augustinópolis,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,SAMPAIO,TO,"77980000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.092,-5.35306399,-47.87794871
18,"013.AGEATAUT",Agência de Atendimento de Aurora do Tocantins,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,AURORA DO TOCANTINS,TO,"77325000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.093,-12.71259782,-46.40821519
19,"013.AGEATAXT",Agência de Atendimento de Axixá do Tocantins,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,AXIXA DO TOCANTINS,TO,"77930000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.094,-5.61353831,-47.76648583
20,"013.AGEATBBL",Agência de Atendimento de Babaçulândia,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,BABACULANDIA,TO,"77870000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.095,-7.20257193,-47.75975064
21,"013.AGEATBAT",Agência de Atendimento de Bandeirantes do Tocantins,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,BANDEIRANTES DO TOCANTINS,TO,"77783000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.096,-7.7604789,-48.57865857
22,"013.AGEATBAR",Agência de Atendimento de Barrolândia,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,BARROLANDIA,TO,"77665000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.098,-9.836278,-48.72490463
23,"013.AGEATBES",Agência de Atendimento de Bernardo Sayão,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,BERNARDO SAYAO,TO,"77755000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.100,-7.88043425,-48.89638194
24,"013.AGEATBJT",Agência de Atendimento de Bom Jesus do Tocantins,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,BOM JESUS DO TOCANTINS,TO,"77714000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.102,-8.96216893,-48.16224659
