ID;CODIGO_SETOR;NOME_SETOR;ORGAO;ATIVO;LOGRADOURO;NUMERO;COMPLEMENTO;BAIRRO;CIDADE;ESTADO;CEP;TELEFONE;EMAIL;DATA_CRIACAO;DATA_ATUALIZACAO;LATITUDE;LONGITUDE
1;013.AGEATBAT;Agência de Atendimento Bandeirantes do Tocantins;Secretaria da Fazenda;1;atualizar endereço;0;;CENTRO;BANDEIRANTES DO TOCANTINS;TO;77783000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br;09/10/2025 08:28;09/10/2025 08:28;-7.76047890;-48.57865857
2;013.AGEATABR;Agência de Atendimento de Abreulândia;Secretaria da Fazenda;1;atualizar endereço;0;;CENTRO;ABREULANDIA;TO;77693000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br;09/10/2025 08:28;09/10/2025 08:28;-9.62211431;-49.15200538
3;013.AGEATAGU;Agência de Atendimento de Aguiarnópolis;Secretaria da Fazenda;1;atualizar endereço;0;;CENTRO;AGUIARNOPOLIS;TO;77908-000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br;09/10/2025 08:28;09/10/2025 08:28;-6.56256251;-47.47102430
4;013.AGEATALT;Agência de Atendimento de Aliança do Tocantins;Secretaria da Fazenda;1;atualizar endereço;0;;CENTRO;ALIANCA DO TOCANTINS;TO;77455000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br;09/10/2025 08:28;09/10/2025 08:28;-11.30677761;-48.93887309
5;013.AGEATALM;Agência de Atendimento de Almas;Secretaria da Fazenda;1;atualizar endereço;0;;CENTRO;ALMAS;TO;77310000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br;09/10/2025 08:28;09/10/2025 08:28;-11.56794243;-47.17041349
6;013.AGEATALV;Agência de Atendimento de Alvorada;Secretaria da Fazenda;1;atualizar endereço;0;;CENTRO;ALVORADA;TO;77480000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br;09/10/2025 08:28;09/10/2025 08:28;-12.49298486;-49.13165217
7;013.AGEATANN;Agência de Atendimento de Ananás;Secretaria da Fazenda;1;atualizar endereço;0;;CENTRO;ANANAS;TO;77890000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br;09/10/2025 08:28;09/10/2025 08:28;-6.36779215;-48.07313905
8;013.AGEATANG;Agência de Atendimento de Angico;Secretaria da Fazenda;1;atualizar endereço;0;;CENTRO;ANGICO;TO;77905000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br;09/10/2025 08:28;09/10/2025 08:28;-6.39083582;-47.86685008
9;013.AGEATARN;Agência de Atendimento de Aparecida do Rio Negro;Secretaria da Fazenda;1;atualizar endereço;0;;CENTRO;APARECIDA DO RIO NEGRO;TO;77620000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br;09/10/2025 08:28;09/10/2025 08:28;-9.95165370;-47.97803725
10;013.AGEATARG;Agência de Atendimento de Aragominas;Secretaria da Fazenda;1;atualizar endereço;0;;CENTRO;ARAGOMINAS;TO;77845000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br;09/10/2025 08:28;09/10/2025 08:28;-7.16556223;-48.52594278
