ID;CODIGO_SETOR;ATIVO;NOME_SETOR;ORGAO;LOGRADOURO;NUMERO;COMPLEMENTO;BAIRRO;CIDADE;ESTADO;CEP;TELEFONE;EMAIL
1;013.AGEATBAT;1;Agência de Atendimento Bandeirantes do Tocantins;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;BANDEIRANTES DO TOCANTINS;TO;77783000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
2;013.AGEATABR;1;Agência de Atendimento de Abreulândia;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;ABREULANDIA;TO;77693000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
3;013.AGEATAGU;1;Agência de Atendimento de Aguiarnópolis;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;AGUIARNOPOLIS;TO;77908000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
4;013.AGEATALT;1;Agência de Atendimento de Aliança do Tocantins;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;ALIANCA DO TOCANTINS;TO;77455000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
5;013.AGEATALM;1;Agência de Atendimento de Almas;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;ALMAS;TO;77310000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
6;013.AGEATALV;1;Agência de Atendimento de Alvorada;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;ALVORADA;TO;77480000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
7;013.AGEATANN;1;Agência de Atendimento de Ananás;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;ANANAS;TO;77890000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
8;013.AGEATANG;1;Agência de Atendimento de Angico;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;ANGICO;TO;77895000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
9;013.AGEATARN;1;Agência de Atendimento de Aparecida do Rio Negro;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;APARECIDA DO RIO NEGRO;TO;77620000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
10;013.AGEATARG;1;Agência de Atendimento de Aragominas;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;ARAGOMINAS;TO;77845000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
11;013.AGEATARC;1;Agência de Atendimento de Araguacema;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;ARAGUACEMA;TO;77690000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
12;013.AGEATARU;1;Agência de Atendimento de Araguaçu;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;ARAGUACU;TO;77475000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
13;013.AGEATARA;1;Agência de Atendimento de Araguaína;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;ARAGUAINA;TO;77803140;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
14;013.AGEATAGN;1;Agência de Atendimento de Araguanã;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;ARAGUANÃ;TO;77855000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
15;013.AGEATAGI;1;Agência de Atendimento de Araguatins;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;ARAGUATINS;TO;77950000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
